user_id,timestamp,ip_address,action,login_attempts,file_size,anomaly_type,label
1000,2024-09-12 19:00:25.640993,192.168.252.36,usb insert,0,0.0,None,0
1000,2024-09-16 17:40:01.371414,10.25.149.152,remote login,7,0.0,None,0
1000,2024-10-08 09:57:45.348257,172.17.85.141,login,5,0.0,DDoS_Attempt,1
1001,2024-09-25 07:53:08.965385,172.19.88.206,file access,0,18.22,None,0
1001,2024-10-01 04:12:55.874100,172.27.27.42,remote login,2,0.0,None,0
1002,2024-10-08 18:33:16.474757,172.23.61.168,login,6,0.0,None,0
1003,2024-10-03 16:06:31.613401,172.28.232.9,file access,0,13.31,None,0
1004,2024-09-27 20:06:24.405413,172.22.2.242,file access,0,8.31,Brute_Force,1
1006,2024-10-07 00:07:09.250676,172.31.86.28,file access,0,38.44,None,0
1007,2024-09-25 08:52:19.667337,10.222.179.45,file access,0,17.82,None,0
1007,2024-09-28 18:10:16.640200,10.178.144.47,file access,0,29.17,None,0
1007,2024-10-03 07:13:54.987472,172.22.54.208,remote login,2,0.0,None,0
1008,2024-09-13 02:00:52.531275,172.19.6.195,file access,0,20.25,None,0
1010,2024-09-12 20:39:39.829110,10.229.48.126,network traffic,0,0.0,None,0
1010,2024-10-01 11:10:28.524031,10.118.92.10,usb insert,0,0.0,None,0
1011,2024-09-25 07:54:49.329639,172.16.180.101,login,6,0.0,None,0
1012,2024-10-06 00:37:37.325176,10.183.131.226,remote login,8,0.0,None,0
1015,2024-10-05 04:31:02.915129,172.16.249.225,file access,0,34.89,None,0
1015,2024-10-10 18:20:00.264417,10.35.218.110,file access,0,20.27,None,0
1018,2024-10-01 03:47:15.778142,10.120.94.0,exfiltration,0,0.0,Data_Exfil,1
1020,2024-10-12 04:50:08.465694,192.168.19.110,usb insert,0,0.0,None,0
1022,2024-09-13 16:36:55.132008,192.168.52.118,usb insert,0,0.0,Brute_Force,1
1023,2024-09-25 14:12:56.459773,10.137.136.100,file access,0,45.26,None,0
1023,2024-09-27 12:32:10.075039,192.168.153.106,login,10,0.0,None,0
1024,2024-09-17 08:49:07.799371,172.16.229.228,remote login,3,0.0,None,0
1025,2024-09-15 15:58:45.392406,10.137.44.132,file access,0,31.75,None,0
1029,2024-10-07 22:12:06.931164,192.168.58.93,file access,0,22.36,None,0
1036,2024-09-28 05:43:40.331156,172.18.70.213,network traffic,0,0.0,None,0
1037,2024-09-14 21:05:01.813207,172.18.20.44,usb insert,0,0.0,None,0
